stop_id,stop_name,stop_lat,stop_lon,Zipcode
20942,E Vista Way & E Bobier Dr,33.216647,-117.22676,92084
20943,E Vista Way & Arcadia Av,33.226019,-117.226283,92084
20944,E Vista Way & Osborne St,33.23854,-117.226351,92084
20945,La Mirada Dr & Commerce Wy,33.150407,-117.222668,92081
20946,Oak Dr & Foothill Dr,33.216685,-117.221913,92084
20947,Rancho Santa Fe Rd & Somerset Pl,33.128981,-117.211233,92078
20948,Rancho Santa Fe Rd & 1st St,33.137123,-117.205028,92078
20949,Rancho Santa Fe Rd & Linda Vista Dr,33.140732,-117.20323,92078
20962,Escondido Bl & Mission Av,33.128255,-117.08914,92025
20964,Broadway & Lincoln Av,33.133972,-117.08708,92026
20967,Pala Mission Rd & Portillo Rd,33.364953,-117.084209,92059
20971,Escondido Bl & 15th Av,33.1074,-117.075128,92025
20972,Escondido Bl & Felicita Av,33.10521,-117.073658,92025
20976,Hwy 76 & Lilac Rd,33.364021,-117.062397,92059
20978,Bear Valley Pkwy & Kit Carson Park,33.078231,-117.057425,92025
20980,Citrus Av & Citron Pl,33.13308,-117.039209,92027
20981,Hwy 78 & San Pasqual Rd,33.097807,-117.020663,92027
20982,Hwy 76 & El Senedero Dr,33.335874,-117.005488,92061
20983,Hwy 76 & Pauma Valley Dr,33.302974,-116.978077,92061
20991,Stuart Mesa & Vaughn,33.252679,-117.404834,92058
20992,Stuart Mesa & Bloom,33.249042,-117.403107,92058
20996,Coast Hwy & Civic Center Dr,33.197286,-117.38082,92054
20999,Coast Hwy & Topeka St,33.193733,-117.37783,92054
21003,Coast Hwy & Washington Av,33.19053,-117.375124,92054
21005,Coast Hwy & Wisconsin Av,33.188381,-117.373356,92054
21008,Coast Hwy & West St,33.186416,-117.371734,92054
21013,Coast Hwy & Oceanside Blvd,33.18335,-117.369212,92054
21015,Coast Hwy & Cassidy St,33.174859,-117.362015,92054
21019,Mesa Dr & Mission Av,33.208108,-117.358652,92054
21023,Mesa Dr & Crouch St,33.205741,-117.353723,92054
21024,9th St & Vandegrift Bl,33.295368,-117.353596,92055
21031,Mesa Dr & Barnwell St,33.204694,-117.34805,92054
