X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-106.288229,31.8036230000001,482121,60006,2835,11600 Montana\Las Palmas,11600 Unit OB & Las Palmas,31.803623,-106.288229,,,2835,,,,0,,,,01-13-2024
-106.348932,31.796048,482122,60006,2838,Montana\Wedgewood, Unit IB & Wedgewood Dr,31.796048,-106.348932,,,2838,,,,0,,,,01-13-2024
-106.354686,31.7953370000001,482123,60006,2839,Montana\Derrick, Unit IB & Derrick Rd,31.795337,-106.354686,,,2839,,,,0,,,,01-13-2024
-106.359025,31.794739,482124,60006,2840,Montana\Rutherglen,9501 Unit IB & Rutherglen St,31.794739,-106.359025,,,2840,,,,0,,,,01-13-2024
-106.362086,31.794387,482125,60006,2841,Montana\Shell,9315 Unit IB & Shell St,31.794387,-106.362086,,,2841,,,,0,,,,01-13-2024
-106.366905,31.793706,482126,60006,2842,Montana\Mattox,9005 Unit IB & Mattox St,31.793706,-106.366905,,,2842,,,,0,,,,01-13-2024
-106.374873,31.794119,482127,60006,2845,Boeing\Postal,8600 Unit IB & Postal Pl,31.794119,-106.374873,,,2845,,,,0,,,,01-13-2024
-106.377015,31.7938280000001,482128,60006,2846,8401 Boeing\Post Office,8401 Unit IB & Post Office,31.793828,-106.377015,,,2846,,,,0,,,,01-13-2024
-106.382434,31.7931150000001,482129,60006,2848,Boeing\Beech,7618 Unit IB & Beech St,31.793115,-106.382434,,,2848,,,,0,,,,01-13-2024
-106.387802,31.7923950000001,482130,60006,2849,7335 Boeing\Grumman,7335 Unit IB & Grumman St,31.792395,-106.387802,,,2849,,,,0,,,,01-13-2024
-106.390891,31.792,482131,60006,2850,7201 Boeing\Sikorsky,7201 Unit IB & Sikorsky St,31.792,-106.390891,,,2850,,,,0,,,,01-13-2024
-106.393717,31.791835,482132,60006,2851,6789 Boeing\American,6789 Unit IB & American Dr,31.791835,-106.393717,,,2851,,,,0,,,,01-13-2024
-106.403202,31.806745,482133,60006,2852,Leigh Fisher\Airport, Unit IB & Airport Rd,31.806745,-106.403202,,,2852,,,,0,,,,01-13-2024
-106.399308,31.8070200000001,482134,60006,2853,Leigh Fisher\Zane Grey, Unit OB & Zane Grey St,31.80702,-106.399308,,,2853,,,,0,,,,01-13-2024
-106.399502,31.8176500000001,482135,60006,2859,Founders\Zane Grey, Unit IB & Zane Grey St,31.81765,-106.399502,,,2859,,,,0,,,,01-13-2024
-106.403164,31.817667,482136,60006,2860,Founders\Concord,300 Unit IB & Concord St,31.817667,-106.403164,,,2860,,,,0,,,,01-13-2024
-106.44836,31.8258310000001,482137,60006,2863,3729  Fred Wilson\Lackland,3729 Unit IB & Lackland St,31.825831,-106.44836,,,2863,,,,0,,,,01-13-2024
